1,WORLD,900,152986157,161289976,173230585,191446828,220983187,247958644,280598105,77563467,81581501,87719833,97663081,113940881,128238058,145655844,75422690,79708475,85510752,93783747,107042306,119720586,134942261
2,Sub-Saharan Africa,947,13286341,14275437,13151229,14290369,15854637,20721874,22221538,7048417,7514093,6939992,7657166,8388044,10866306,11651019,6237924,6761344,6211237,6633203,7466593,9855568,10570519
3,Northern Africa and Western Asia,1833,17608769,18912064,20321397,23165804,32638434,42036092,49767746,10137138,11047709,12060066,14298543,21159635,27119963,31936084,7471631,7864355,8261331,8867261,11478799,14916129,17831662
4,Central and Southern Asia,921,26168623,21247814,20139825,18854544,19676783,19266265,19427576,13255517,10643146,10125866,9395177,9817100,9603861,9727936,12913106,10604668,10013959,9459367,9859683,9662404,9699640
5,Eastern and South-Eastern Asia,1832,6835882,8339806,10506212,12979157,15760463,18027810,19591106,3507907,4190876,5165913,6436048,7866153,9100814,9920938,3327975,4148930,5340299,6543109,7894310,8926996,9670168
6,Latin America and the Caribbean,1830,7135971,6661553,6539738,7184113,8326588,9441503,14794623,3582217,3335229,3266229,3572498,4139431,4738649,7473421,3553754,3326324,3273509,3611615,4187157,4702854,7321202
7,Oceania (excluding Australia and New Zealand),1835,258678,280580,296618,306039,298175,302810,313069,144238,153072,156788,161215,158458,160348,165505,114440,127508,139830,144824,139717,142462,147564
8,Australia and New Zealand,927,4473260,4741947,5065063,5717982,6830423,7769466,9067584,2271419,2382510,2519827,2826880,3381077,3846117,4480351,2201841,2359437,2545236,2891102,3449346,3923349,4587233
9,Europe and Northern America,1829,77218633,86830775,97210503,108948820,121597684,130392824,145414863,37616614,42314866,47485152,53315554,59030983,62802000,70300590,39602019,44515909,49725351,55633266,62566701,67590824,75114273
10,Developed regions,901,82767210,92935093,103962010,116678357,130562258,140394479,157253443,40426798,45377588,50801907,57073632,63384541,67698187,76128097,42340412,47557505,53160103,59604725,67177717,72696292,81125346
11,Less developed regions,902,70218947,68354883,69268575,74768471,90420929,107564165,123344662,37136669,36203913,36917926,40589449,50556340,60539871,69527747,33082278,32150970,32350649,34179022,39864589,47024294,53816915
12,Less developed regions,934,59158726,56673106,59204627,64976460,79989053,94124050,107159937,31586436,30379836,31883994,35617824,45371137,53851671,61492223,27572290,26293270,27320633,29358636,34617916,40272379,45667714
13,Less developed regions excluding China,948,67419066,65243958,65850628,71088981,86472612,103368940,118939005,35723792,34702148,35328824,38894021,48756636,58644164,67594504,31695274,30541810,30521804,32194960,37715976,44724776,51344501
14,Least developed countries,941,11060221,11681777,10063948,9792011,10431876,13440115,16184725,5550233,5824077,5033932,4971625,5185203,6688200,8035524,5509988,5857700,5030016,4820386,5246673,6751915,8149201
15,Land-locked Developing Countries (LLDC),1636,14212843,12370057,11503826,11576028,11597176,13821420,15022720,6634173,5711793,5322930,5433861,5547431,6703619,7264069,7578670,6658264,6180896,6142167,6049745,7117801,7758651
16,Small island developing States (SIDS),1637,2312665,2758806,3287168,3918084,4710457,5273967,5678001,1215163,1416442,1643712,1982037,2421217,2747999,3006821,1097502,1342364,1643456,1936047,2289240,2525968,2671180
17,High-income countries,1503,76295202,87896678,101641715,119026154,142642749,158516311,181897756,39262814,44979406,51813707,61090224,74310524,82642592,95328366,37032388,42917272,49828008,57935930,68332225,75873719,86569390
18,Middle-income countries,1517,67228996,64071357,63873275,64747471,69069732,78597464,85895533,33533975,31900162,32013691,32742245,34997886,40203291,44012113,33695021,32171195,31859584,32005226,34071846,38394173,41883420
19,Upper-middle-income countries,1502,35289343,35213683,35822210,38209661,42080101,50991477,57383443,17724673,17685130,18115349,19479700,21633758,26585049,29870387,17564670,17528553,17706861,18729961,20446343,24406428,27513056
20,Lower-middle-income countries,1501,31939653,28857674,28051065,26537810,26989631,27605987,28512090,15809302,14215032,13898342,13262545,13364128,13618242,14141726,16130351,14642642,14152723,13275265,13625503,13987745,14370364
21,Low-income countries,1500,9193274,8995692,7322731,7227899,8781206,10321749,12232043,4626030,4534923,3695811,3612390,4397440,5146388,6046398,4567244,4460769,3626920,3615509,4383766,5175361,6185645
22,AFRICA,903,15689666,16357077,15051677,16040087,17806677,22860792,25389464,8279127,8619901,7996691,8703290,9543626,12139998,13439073,7410539,7737176,7054986,7336797,8263051,10720794,11950391
23,Eastern Africa,910,5959183,4977644,4847119,4788649,4743657,6696922,7682801,3069356,2563827,2483905,2548491,2405918,3377343,3846978,2889827,2413817,2363214,2240158,2337739,3319579,3835823
24,Burundi,108,333110,254853,125628,192774,247321,298299,344767,163267,124165,61094,94413,121762,146970,170125,169843,130688,64534,98361,125559,151329,174642
25,Comoros,174,14079,13939,13799,13209,12618,12555,12496,6717,6614,6511,6286,6060,6071,6044,7362,7325,7288,6923,6558,6484,6452
26,Djibouti,262,122221,99774,100507,92110,102307,112351,119738,64242,52476,52920,51331,53669,59081,62863,57979,47298,47587,40779,48638,53270,56875
27,Eritrea,232,11848,12400,12952,15905,15813,15941,13934,6228,6542,6856,8603,8679,8833,7815,5620,5858,6096,7302,7134,7108,6119
28,Ethiopia,231,1155390,806904,611384,514451,568748,1161642,1085517,607284,424117,322219,269834,298069,591409,536807,548106,382787,289165,244617,270679,570233,548710
29,Kenya,404,298089,618745,707852,773354,954925,1126886,1050147,161259,322189,352933,400364,473093,562909,529975,136830,296556,354919,372990,481832,563977,520172
30,Madagascar,450,23917,21177,23541,26058,28905,32075,35563,13348,11901,13276,14744,16410,18270,20262,10569,9276,10265,11314,12495,13805,15301
31,Malawi,454,1127724,241624,232620,221661,217722,197328,191362,546520,116198,111530,105931,103869,93689,93612,581204,125426,121090,115730,113853,103639,97750
32,Mauritius*,480,3613,7493,15543,19647,24836,28585,28893,1763,3228,5705,8943,13188,15832,16003,1850,4265,9838,10704,11648,12753,12890
33,Mayotte*,175,15229,26316,45474,63176,72757,81386,111540,8780,14679,23546,31364,34500,37657,51609,6449,11637,21928,31812,38257,43729,59931
34,Mozambique,508,122332,168256,195702,268694,306471,321794,338850,66060,91210,103175,130290,148105,155510,165490,56272,77046,92527,138404,158366,166284,173360
35,R�union*,638,57210,77159,100678,115076,123029,127209,131769,30724,40710,52264,59196,62707,64537,66852,26486,36449,48414,55880,60322,62672,64917
36,Rwanda,646,160024,215735,347076,423187,426901,514647,513907,80763,109783,175741,213279,214048,256327,259907,79261,105952,171335,209908,212853,258320,254000
37,Seychelles,690,3721,5148,6574,8997,11420,12791,13050,2204,3021,3837,5820,7804,8954,9136,1517,2127,2737,3177,3616,3837,3914
38,Somalia,706,478294,19527,20097,20768,48106,40990,58590,244201,10282,10628,11098,25213,21584,32285,234093,9245,9469,9670,22893,19406,26305
39,South Sudan,728,..,..,..,..,230732,844112,882252,..,..,..,..,119106,430944,443405,..,..,..,..,111626,413168,438847
40,Uganda,800,544273,606987,584280,593308,492930,851175,1720313,283337,308281,290859,292130,241903,415845,827664,260936,298706,293421,301178,251027,435330,892649
41,United Republic of Tanzania*,834,574025,1106043,949600,771153,309847,384567,426017,283390,547089,481816,486983,154591,190617,213007,290635,558954,467784,284170,155256,193950,213010
42,Zambia,894,279463,244338,343703,252895,149962,132107,187955,143029,125329,175114,128628,75941,66651,97556,136434,119009,168589,124267,74021,65456,90399
43,Zimbabwe,716,634621,431226,410109,402226,398307,400482,416141,356240,246013,233881,229254,227201,225653,236561,278381,185213,176228,172972,171106,174829,179580
44,Middle Africa,911,1461155,2662490,1775284,1961951,2436802,3479911,3861568,744853,1355452,915265,1003895,1241613,1828969,2030830,716302,1307038,860019,958056,1195189,1650942,1830738
45,Angola,24,33517,39813,46108,62331,336367,632178,656434,18142,20755,23367,30736,162332,304635,331401,15375,19058,22741,31595,174035,327543,325033
46,Cameroon,120,265967,244791,227242,265503,291474,508346,579209,145869,133945,124008,146129,161485,251311,286254,120098,110846,103234,119374,129989,257035,292955
47,Central African Republic,140,67234,99712,123529,96409,94685,81568,88546,35686,52975,65636,51299,50411,43147,46357,31548,46737,57893,45110,44274,38421,42189
48,Chad,148,74342,89584,104825,352130,417034,466968,547494,40133,48298,56463,159745,186821,215640,249548,34209,41286,48362,192385,230213,251328,297946
49,Congo,178,129391,191635,305880,318724,425173,390142,387606,64316,95822,153107,173229,231105,213764,211403,65075,95813,152773,145495,194068,176378,176203
50,Democratic Republic of the Congo,180,754194,1816963,744387,623009,589882,810018,952871,363117,901379,365092,302359,284693,393966,459052,391077,915584,379295,320650,305189,416052,493819
51,Equatorial Guinea,226,2740,3629,4517,6588,8658,209611,230618,1465,1930,2394,3564,4734,161527,177716,1275,1699,2123,3024,3924,48084,52902
52,Gabon,266,128188,171427,214431,233824,270829,378686,416651,73172,97800,122986,135107,158680,243782,268032,55016,73627,91445,98717,112149,134904,148619
53,Sao Tome and Principe,678,5582,4936,4365,3433,2700,2394,2139,2953,2548,2212,1727,1352,1197,1067,2629,2388,2153,1706,1348,1197,1072
54,Northern Africa,912,2403325,2081640,1900448,1749718,1952040,2138918,3167926,1230710,1105808,1056699,1046124,1155582,1273692,1788054,1172615,975832,843749,703594,796458,865226,1379872
